qtr,r,c
1947-01-01 00:00:00,0.0038,1017.2
1947-04-01 00:00:00,0.0038,1034.0
1947-07-01 00:00:00,0.0066,1037.5
1947-10-01 00:00:00,0.0085,1037.7
1948-01-01 00:00:00,0.0097,1042.6
1948-04-01 00:00:00,0.01,1054.3
1948-07-01 00:00:00,0.01,1056.1
1948-10-01 00:00:00,0.0112,1064.8
1949-01-01 00:00:00,0.0117,1066.1
1949-04-01 00:00:00,0.0117,1082.6
1949-07-01 00:00:00,0.0102,1085.0
1949-10-01 00:00:00,0.0105,1100.2
1950-01-01 00:00:00,0.0107,1118.9
1950-04-01 00:00:00,0.0115,1136.8
1950-07-01 00:00:00,0.0116,1195.3
1950-10-01 00:00:00,0.0131,1160.1
1951-01-01 00:00:00,0.0134,1187.4
1951-04-01 00:00:00,0.0147,1154.5
1951-07-01 00:00:00,0.0156,1167.9
1951-10-01 00:00:00,0.0154,1174.9
1952-01-01 00:00:00,0.0157,1178.1
1952-04-01 00:00:00,0.0157,1200.7
1952-07-01 00:00:00,0.0181,1206.0
1952-10-01 00:00:00,0.0174,1248.3
1953-01-01 00:00:00,0.0196,1263.4
1953-04-01 00:00:00,0.0219,1271.2
1953-07-01 00:00:00,0.0204,1268.2
1953-10-01 00:00:00,0.0138,1259.7
1954-01-01 00:00:00,0.0118,1264.3
1954-04-01 00:00:00,0.0097,1280.1
1954-07-01 00:00:00,0.0072,1297.1
1954-10-01 00:00:00,0.0098,1324.0
1955-01-01 00:00:00,0.0122,1353.5
1955-04-01 00:00:00,0.0159,1379.1
1955-07-01 00:00:00,0.016,1396.1
1955-10-01 00:00:00,0.0223,1413.3
1956-01-01 00:00:00,0.0241,1415.5
1956-04-01 00:00:00,0.026,1420.2
1956-07-01 00:00:00,0.0231,1423.4
1956-10-01 00:00:00,0.029,1442.8
1957-01-01 00:00:00,0.0311,1452.7
1957-04-01 00:00:00,0.0307,1455.1
1957-07-01 00:00:00,0.0316,1467.0
1957-10-01 00:00:00,0.0358,1467.8
1958-01-01 00:00:00,0.0244,1447.3
1958-04-01 00:00:00,0.0113,1458.9
1958-07-01 00:00:00,0.0091,1482.2
1958-10-01 00:00:00,0.0263,1500.9
1959-01-01 00:00:00,0.0282,1525.9
1959-04-01 00:00:00,0.0295,1551.7
1959-07-01 00:00:00,0.032,1569.2
1959-10-01 00:00:00,0.0405,1571.4
1960-01-01 00:00:00,0.0435,1585.6
1960-04-01 00:00:00,0.0323,1605.1
1960-07-01 00:00:00,0.023,1598.5
1960-10-01 00:00:00,0.023,1600.3
1961-01-01 00:00:00,0.0224,1600.2
1961-04-01 00:00:00,0.0229,1624.2
1961-07-01 00:00:00,0.0224,1632.1
1961-10-01 00:00:00,0.023,1664.9
1962-01-01 00:00:00,0.0272,1682.7
1962-04-01 00:00:00,0.0273,1703.1
1962-07-01 00:00:00,0.0292,1717.0
1962-10-01 00:00:00,0.0274,1741.5
1963-01-01 00:00:00,0.0291,1753.1
1963-04-01 00:00:00,0.029,1770.0
1963-07-01 00:00:00,0.0318,1794.0
1963-10-01 00:00:00,0.0345,1809.3
1964-01-01 00:00:00,0.0352,1845.2
1964-04-01 00:00:00,0.0347,1877.9
1964-07-01 00:00:00,0.0346,1912.6
1964-10-01 00:00:00,0.0357,1918.0
1965-01-01 00:00:00,0.0381,1960.3
1965-04-01 00:00:00,0.0393,1982.0
1965-07-01 00:00:00,0.0384,2016.0
1965-10-01 00:00:00,0.0403,2072.7
1966-01-01 00:00:00,0.0459,2103.2
1966-04-01 00:00:00,0.0462,2109.0
1966-07-01 00:00:00,0.048,2133.1
1966-10-01 00:00:00,0.0535,2142.0
1967-01-01 00:00:00,0.0472,2154.6
1967-04-01 00:00:00,0.0384,2183.4
1967-07-01 00:00:00,0.0421,2194.5
1967-10-01 00:00:00,0.0456,2207.8
1968-01-01 00:00:00,0.05,2260.3
1968-04-01 00:00:00,0.0538,2295.1
1968-07-01 00:00:00,0.0531,2338.2
1968-10-01 00:00:00,0.0535,2348.6
1969-01-01 00:00:00,0.0614,2375.0
1969-04-01 00:00:00,0.0611,2390.0
1969-07-01 00:00:00,0.07,2401.0
1969-10-01 00:00:00,0.07,2419.8
1970-01-01 00:00:00,0.0787,2434.4
1970-04-01 00:00:00,0.0651,2445.7
1970-07-01 00:00:00,0.0645,2467.1
1970-10-01 00:00:00,0.0591,2460.1
1971-01-01 00:00:00,0.0444,2507.4
1971-04-01 00:00:00,0.0386,2530.5
1971-07-01 00:00:00,0.054,2550.7
1971-10-01 00:00:00,0.0446,2593.2
1972-01-01 00:00:00,0.0338,2627.6
1972-04-01 00:00:00,0.0371,2677.3
1972-07-01 00:00:00,0.0398,2718.4
1972-10-01 00:00:00,0.0474,2781.7
1973-01-01 00:00:00,0.0541,2832.0
1973-04-01 00:00:00,0.0626,2830.5
1973-07-01 00:00:00,0.0801,2840.6
1973-10-01 00:00:00,0.0722,2832.2
1974-01-01 00:00:00,0.0777,2807.8
1974-04-01 00:00:00,0.0833,2819.0
1974-07-01 00:00:00,0.0755,2831.6
1974-10-01 00:00:00,0.0746,2790.8
1975-01-01 00:00:00,0.0626,2814.6
1975-04-01 00:00:00,0.0561,2860.5
1975-07-01 00:00:00,0.0613,2901.2
1975-10-01 00:00:00,0.0596,2931.4
1976-01-01 00:00:00,0.0487,2989.7
1976-04-01 00:00:00,0.0486,3016.3
1976-07-01 00:00:00,0.0523,3047.9
1976-10-01 00:00:00,0.0492,3088.0
1977-01-01 00:00:00,0.0462,3124.6
1977-04-01 00:00:00,0.0454,3141.5
1977-07-01 00:00:00,0.0519,3171.4
1977-10-01 00:00:00,0.0616,3219.1
1978-01-01 00:00:00,0.0644,3237.3
1978-04-01 00:00:00,0.0629,3306.4
1978-07-01 00:00:00,0.0701,3320.8
1978-10-01 00:00:00,0.0799,3347.8
1979-01-01 00:00:00,0.0935,3365.3
1979-04-01 00:00:00,0.0946,3364.0
1979-07-01 00:00:00,0.0924,3397.3
1979-10-01 00:00:00,0.117,3407.1
1980-01-01 00:00:00,0.12,3401.7
1980-04-01 00:00:00,0.132,3325.8
1980-07-01 00:00:00,0.0806,3362.0
1980-10-01 00:00:00,0.1162,3406.8
1981-01-01 00:00:00,0.1502,3421.3
1981-04-01 00:00:00,0.1369,3422.1
1981-07-01 00:00:00,0.1495,3435.7
1981-10-01 00:00:00,0.1354,3409.7
1982-01-01 00:00:00,0.1228,3432.2
1982-04-01 00:00:00,0.127,3444.3
1982-07-01 00:00:00,0.1135,3470.8
1982-10-01 00:00:00,0.0771,3533.9
1983-01-01 00:00:00,0.0786,3568.5
1983-04-01 00:00:00,0.0821,3639.5
1983-07-01 00:00:00,0.0908,3704.1
1983-10-01 00:00:00,0.0864,3762.5
1984-01-01 00:00:00,0.089,3794.9
1984-04-01 00:00:00,0.0969,3849.3
1984-07-01 00:00:00,0.1012,3879.1
1984-10-01 00:00:00,0.0974,3930.2
1985-01-01 00:00:00,0.0776,3996.2
1985-04-01 00:00:00,0.0795,4032.6
1985-07-01 00:00:00,0.0708,4109.1
1985-10-01 00:00:00,0.0716,4118.4
1986-01-01 00:00:00,0.0707,4152.7
1986-04-01 00:00:00,0.0606,4196.7
1986-07-01 00:00:00,0.0583,4269.5
1986-10-01 00:00:00,0.0518,4296.7
1987-01-01 00:00:00,0.0543,4298.6
1987-04-01 00:00:00,0.0564,4357.3
1987-07-01 00:00:00,0.0569,4406.3
1987-10-01 00:00:00,0.0613,4417.1
1988-01-01 00:00:00,0.0581,4490.6
1988-04-01 00:00:00,0.0591,4522.7
1988-07-01 00:00:00,0.0673,4560.5
1988-10-01 00:00:00,0.0735,4614.0
1989-01-01 00:00:00,0.0827,4631.2
1989-04-01 00:00:00,0.0865,4653.0
1989-07-01 00:00:00,0.0788,4697.3
1989-10-01 00:00:00,0.0764,4718.8
1990-01-01 00:00:00,0.0764,4757.1
1990-04-01 00:00:00,0.0777,4773.0
1990-07-01 00:00:00,0.0762,4792.6
1990-10-01 00:00:00,0.0717,4758.3
1991-01-01 00:00:00,0.0622,4738.1
1991-04-01 00:00:00,0.0565,4779.4
1991-07-01 00:00:00,0.0558,4800.1
1991-10-01 00:00:00,0.0499,4795.9
1992-01-01 00:00:00,0.038,4875.0
1992-04-01 00:00:00,0.0375,4903.0
1992-07-01 00:00:00,0.0321,4951.8
1992-10-01 00:00:00,0.0286,5009.4
1993-01-01 00:00:00,0.03,5027.3
1993-04-01 00:00:00,0.0287,5071.9
1993-07-01 00:00:00,0.0304,5127.3
1993-10-01 00:00:00,0.0302,5172.9
1994-01-01 00:00:00,0.0298,5230.3
1994-04-01 00:00:00,0.0368,5268.0
1994-07-01 00:00:00,0.0433,5305.7
1994-10-01 00:00:00,0.0495,5358.7
1995-01-01 00:00:00,0.0571,5367.2
1995-04-01 00:00:00,0.0565,5411.7
1995-07-01 00:00:00,0.0542,5458.8
1995-10-01 00:00:00,0.0528,5496.1
1996-01-01 00:00:00,0.05,5544.6
1996-04-01 00:00:00,0.0495,5604.9
1996-07-01 00:00:00,0.0515,5640.7
1996-10-01 00:00:00,0.0499,5687.6
1997-01-01 00:00:00,0.0503,5749.1
1997-04-01 00:00:00,0.0516,5775.8
1997-07-01 00:00:00,0.0505,5870.7
1997-10-01 00:00:00,0.0497,5931.4
1998-01-01 00:00:00,0.0504,5996.8
1998-04-01 00:00:00,0.0495,6092.1
1998-07-01 00:00:00,0.0496,6165.7
1998-10-01 00:00:00,0.0396,6248.8
1999-01-01 00:00:00,0.0434,6311.3
1999-04-01 00:00:00,0.0429,6409.7
1999-07-01 00:00:00,0.0455,6476.7
1999-10-01 00:00:00,0.0486,6556.8
2000-01-01 00:00:00,0.0532,6661.3
2000-04-01 00:00:00,0.0566,6703.3
2000-07-01 00:00:00,0.0596,6768.0
2000-10-01 00:00:00,0.0611,6825.0
2001-01-01 00:00:00,0.0515,6853.1
2001-04-01 00:00:00,0.0387,6870.3
2001-07-01 00:00:00,0.0351,6900.5
2001-10-01 00:00:00,0.0216,7017.6
2002-01-01 00:00:00,0.0165,7042.2
2002-04-01 00:00:00,0.0172,7083.5
2002-07-01 00:00:00,0.0168,7123.2
2002-10-01 00:00:00,0.0158,7148.2
2003-01-01 00:00:00,0.0117,7184.9
2003-04-01 00:00:00,0.0113,7249.3
2003-07-01 00:00:00,0.009,7352.9
2003-10-01 00:00:00,0.0092,7394.3
2004-01-01 00:00:00,0.0088,7475.1
2004-04-01 00:00:00,0.0094,7520.5
2004-07-01 00:00:00,0.0133,7585.5
2004-10-01 00:00:00,0.0176,7664.3
2005-01-01 00:00:00,0.0233,7709.4
2005-04-01 00:00:00,0.0278,7775.2
2005-07-01 00:00:00,0.0322,7852.8
2005-10-01 00:00:00,0.0371,7876.9
2006-01-01 00:00:00,0.0424,7961.9
2006-04-01 00:00:00,0.046,8009.3
2006-07-01 00:00:00,0.0495,8063.8
2006-10-01 00:00:00,0.0492,8141.2
2007-01-01 00:00:00,0.0498,8215.7
2007-04-01 00:00:00,0.0487,8244.3
